Time Remaining,Centre,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
08:32,,,,,"FOUL  by MBENOUN,ROB",,,"FOUL  by MBENOUN,ROB",1
08:32,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:32,"GOOD FT by WALKER,ART",16 (+10),,6,,Centre 16-6 (+10),,"GOOD FT by WALKER,ART",1
08:32,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
08:32,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
08:20,,,,,"TURNOVER  by MBENOUN,ROB",,,"TURNOVER  by MBENOUN,ROB",1
08:16,,,,,"SUB OUT by MBENOUN,ROB",,,"SUB OUT by MBENOUN,ROB",1
08:16,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
08:16,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
08:16,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
08:06,"GOOD 3PTR by BAUGHMAN,CARTER",19 (+13),,6,,Centre 19-6 (+13),,"GOOD 3PTR by BAUGHMAN,CARTER",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
07:51,,19 (+11),,8,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 19-8 (+11),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
07:50,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
07:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:50,,,,,"SUB OUT by ESTES,DJ",,,"SUB OUT by ESTES,DJ",1
07:50,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",1
07:50,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
07:50,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:50,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:50,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
07:50,,19 (+10),,9,"GOOD FT by BROOKS,AUSTIN",Berry 19-9 (+10),,"GOOD FT by BROOKS,AUSTIN",1
07:40,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",21 (+12),,9,,Centre 21-9 (+12),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
07:25,"FOUL  by BAUGHMAN,CARTER",,,,,,,"FOUL  by BAUGHMAN,CARTER",1
07:25,"SUB OUT by BAUGHMAN,CARTER",,,,,,,"SUB OUT by BAUGHMAN,CARTER",1
07:25,"SUB IN by WILSON,DREW",,,,,,,"SUB IN by WILSON,DREW",1
07:11,,,,,"MISS 3PTR by HONROTH,OWEN",,,"MISS 3PTR by HONROTH,OWEN",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
06:59,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1
06:53,,,,,"MISS 3PTR by FALCONER,TREY",,,"MISS 3PTR by FALCONER,TREY",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
06:45,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:40,,,,,"SUB OUT by JOHNSON,MICAH",,,"SUB OUT by JOHNSON,MICAH",1
06:40,,,,,"SUB IN by CUMMINGS,DREW",,,"SUB IN by CUMMINGS,DREW",1
06:40,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
06:40,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
06:12,,,,,"MISS JUMPER by HAYNES,CALEB(in the paint)",,,"MISS JUMPER by HAYNES,CALEB(in the paint)",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
06:05,,,,,"FOUL  by CLARK,ETHAN",,,"FOUL  by CLARK,ETHAN",1
06:05,,,,,"SUB OUT by FALCONER,TREY",,,"SUB OUT by FALCONER,TREY",1
06:05,,,,,"SUB IN by ESTES,DJ",,,"SUB IN by ESTES,DJ",1
05:55,"MISS LAYUP by RAKES,BAILEY(in the paint)",,,,,,,"MISS LAYUP by RAKES,BAILEY(in the paint)",1
05:55,,,,,"BLOCK  by HAYNES,CALEB",,,"BLOCK  by HAYNES,CALEB",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
05:31,,21 (+9),,12,"GOOD 3PTR by CLARK,ETHAN",Berry 21-12 (+9),,"GOOD 3PTR by CLARK,ETHAN",1
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",1
05:02,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND OFF by SMITH,RJ",,,,,,,"REBOUND OFF by SMITH,RJ",1
04:56,"TURNOVER  by SMITH,RJ",,,,,,,"TURNOVER  by SMITH,RJ",1
04:56,,,,,"STEAL  by HAYNES,CALEB",,,"STEAL  by HAYNES,CALEB",1
04:44,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
04:44,"SUB IN by SMITH,RJ",,,,,,,"SUB IN by SMITH,RJ",1
04:44,,21 (+6),,15,"GOOD 3PTR by ESTES,DJ",Berry 21-15 (+6),,"GOOD 3PTR by ESTES,DJ",1
04:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:44,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
04:44,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
04:44,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
04:44,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",1
04:30,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
04:30,,,,,"STEAL  by HONROTH,OWEN",,,"STEAL  by HONROTH,OWEN",1
04:01,,,,,"MISS JUMPER by CUMMINGS,DREW",,,"MISS JUMPER by CUMMINGS,DREW",1
--,"REBOUND DEF by PURVIS,KC",,,,,,,"REBOUND DEF by PURVIS,KC",1
03:57,,,,,"FOUL  by CUMMINGS,DREW",,,"FOUL  by CUMMINGS,DREW",1
03:57,"SUB OUT by WILSON,DREW",,,,,,,"SUB OUT by WILSON,DREW",1
03:57,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
03:57,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:56,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
03:56,,,,,"SUB IN by FALCONER,TREY",,,"SUB IN by FALCONER,TREY",1
03:56,"SUB OUT by SMITH,RJ",,,,,,,"SUB OUT by SMITH,RJ",1
03:56,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
03:45,"TURNOVER  by CRUMP,DAWSON",,,,,,,"TURNOVER  by CRUMP,DAWSON",1
03:19,,,,,"MISS 3PTR by CUMMINGS,DREW",,,"MISS 3PTR by CUMMINGS,DREW",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
03:10,"GOOD 3PTR by CRUMP,DAWSON",24 (+9),,15,,Centre 24-15 (+9),,"GOOD 3PTR by CRUMP,DAWSON",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
02:30,,,,,"TURNOVER  by HONROTH,OWEN",,,"TURNOVER  by HONROTH,OWEN",1
02:30,"STEAL  by CRUMP,DAWSON",,,,,,,"STEAL  by CRUMP,DAWSON",1
02:08,"GOOD JUMPER by PURVIS,KC(in the paint)",26 (+11),,15,,Centre 26-15 (+11),,"GOOD JUMPER by PURVIS,KC(in the paint)",1
01:53,,26 (+8),,18,"GOOD 3PTR by ESTES,DJ",Berry 26-18 (+8),,"GOOD 3PTR by ESTES,DJ",1
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",1
01:32,"GOOD LAYUP by PURVIS,KC(in the paint)",28 (+10),,18,,Centre 28-18 (+10),,"GOOD LAYUP by PURVIS,KC(in the paint)",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
01:16,,28 (+7),,21,"GOOD 3PTR by HONROTH,OWEN",Berry 28-21 (+7),,"GOOD 3PTR by HONROTH,OWEN",1
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",1
00:50,"MISS LAYUP by CRUMP,DAWSON(in the paint)",,,,,,,"MISS LAYUP by CRUMP,DAWSON(in the paint)",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
00:39,,28 (+5),,23,"GOOD JUMPER by HAYNES,CALEB(in the paint)",Berry 28-23 (+5),,"GOOD JUMPER by HAYNES,CALEB(in the paint)",1
00:03,"MISS 3PTR by CRUMP,DAWSON",,,,,,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by HONROTH,OWEN",,,"REBOUND DEF by HONROTH,OWEN",1
20:00,,,,,"SUB OUT by HONROTH,OWEN",,,"SUB OUT by HONROTH,OWEN",2
20:00,,,,,"SUB OUT by FALCONER,TREY",,,"SUB OUT by FALCONER,TREY",2
20:00,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",2
20:00,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",2
20:00,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
20:00,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",2
20:00,"SUB IN by BAUGHMAN,CARTER",,,,,,,"SUB IN by BAUGHMAN,CARTER",2
20:00,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
19:35,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
19:07,"MISS JUMPER by SPITZER,JAKOB(in the paint)",,,,,,,"MISS JUMPER by SPITZER,JAKOB(in the paint)",2
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",2
18:37,,28 (+3),,25,"GOOD LAYUP by CUMMINGS,DREW(in the paint)",Berry 28-25 (+3),,"GOOD LAYUP by CUMMINGS,DREW(in the paint)",2
18:13,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",2
18:13,,,,,"STEAL  by CUMMINGS,DREW",,,"STEAL  by CUMMINGS,DREW",2
17:58,,,,,"TURNOVER  by COSTAS,RILEY",,,"TURNOVER  by COSTAS,RILEY",2
17:58,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",2
17:58,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",2
17:36,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",2
17:19,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
17:01,,28 (+1),,27,"GOOD LAYUP by ESTES,DJ(in the paint)",Berry 28-27 (+1),,"GOOD LAYUP by ESTES,DJ(in the paint)",2
--,,,,,"ASSIST  by CUMMINGS,DREW",,,"ASSIST  by CUMMINGS,DREW",2
16:35,"MISS 3PTR by BAUGHMAN,CARTER",,,,,,,"MISS 3PTR by BAUGHMAN,CARTER",2
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",2
16:11,,28,,29 (+1),"GOOD JUMPER by CUMMINGS,DREW",Berry 28-29 (-1),,"GOOD JUMPER by CUMMINGS,DREW",2
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",2
15:45,"MISS LAYUP by AYERS,PERRY(in the paint)",,,,,,,"MISS LAYUP by AYERS,PERRY(in the paint)",2
15:45,,,,,"BLOCK  by CLARK,ETHAN",,,"BLOCK  by CLARK,ETHAN",2
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",2
15:35,,,,,"MISS 3PTR by CUMMINGS,DREW",,,"MISS 3PTR by CUMMINGS,DREW",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
15:18,"MISS LAYUP by SPITZER,JAKOB(in the paint)",,,,,,,"MISS LAYUP by SPITZER,JAKOB(in the paint)",2
--,"REBOUND OFF by WALKER,ART",,,,,,,"REBOUND OFF by WALKER,ART",2
15:18,,,,,"FOUL  by COSTAS,RILEY",,,"FOUL  by COSTAS,RILEY",2
15:18,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",2
15:18,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",2
15:18,,,,,"SUB OUT by COSTAS,RILEY",,,"SUB OUT by COSTAS,RILEY",2
15:18,,,,,"SUB IN by HONROTH,OWEN",,,"SUB IN by HONROTH,OWEN",2
15:18,,,,,"SUB IN by BROOKS,AUSTIN",,,"SUB IN by BROOKS,AUSTIN",2
15:18,,,,,"SUB IN by FALCONER,TREY",,,"SUB IN by FALCONER,TREY",2
15:18,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
15:18,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
15:18,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
15:18,"SUB IN by PURVIS,KC",,,,,,,"SUB IN by PURVIS,KC",2
15:18,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:18,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
--,,,,,"REBOUND DEF by ESTES,DJ",,,"REBOUND DEF by ESTES,DJ",2
15:00,,28,,31 (+3),"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",Berry 28-31 (-3),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",2
14:44,,,,,"FOUL  by BROOKS,AUSTIN",,,"FOUL  by BROOKS,AUSTIN",2
14:44,"GOOD FT by CRUMP,DAWSON",29,,31 (+2),,Centre 29-31 (-2),,"GOOD FT by CRUMP,DAWSON",2
