Time Remaining,Transy,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
17:33,,,,,"FOUL  by BAUGHMAN,CARTER",,,"FOUL  by BAUGHMAN,CARTER",1
17:33,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
17:33,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
17:33,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
17:33,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
17:33,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
17:33,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
17:33,"SUB OUT by SCHROEDER,LUKE",,,,,,,"SUB OUT by SCHROEDER,LUKE",1
17:33,"SUB IN by MCKINNEY,SPENCER",,,,,,,"SUB IN by MCKINNEY,SPENCER",1
17:33,,,,,"TURNOVER  by BAUGHMAN,CARTER",,,"TURNOVER  by BAUGHMAN,CARTER",1
17:20,"MISS JUMPER by LARIMORE,ZACH",,,,,,,"MISS JUMPER by LARIMORE,ZACH",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
16:52,,6 (+3),,3,"GOOD 3PTR by AYERS,PERRY",Centre 6-3 (-3),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
16:34,"TURNOVER  by GENTRY,LUCAS",,,,,,,"TURNOVER  by GENTRY,LUCAS",1
16:34,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",1
16:25,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",1
--,"REBOUND DEF by SCHMITT,GABE",,,,,,,"REBOUND DEF by SCHMITT,GABE",1
16:15,"MISS JUMPER by GENTRY,LUCAS",,,,,,,"MISS JUMPER by GENTRY,LUCAS",1
--,"REBOUND OFF by JEFFERSON,MICHAEL",,,,,,,"REBOUND OFF by JEFFERSON,MICHAEL",1
16:09,"MISS 3PTR by SCHMITT,GABE",,,,,,,"MISS 3PTR by SCHMITT,GABE",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
15:42,,,,,"MISS JUMPER by AYERS,PERRY(in the paint)",,,"MISS JUMPER by AYERS,PERRY(in the paint)",1
--,"REBOUND DEF by SCHMITT,GABE",,,,,,,"REBOUND DEF by SCHMITT,GABE",1
15:35,"MISS 3PTR by SCHMITT,GABE",,,,,,,"MISS 3PTR by SCHMITT,GABE",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
15:25,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:25,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
15:25,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
15:20,,6 (+1),,5,"GOOD JUMPER by BATES,JACOB(in the paint)",Centre 6-5 (-1),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
14:56,"MISS JUMPER by GENTRY,LUCAS",,,,,,,"MISS JUMPER by GENTRY,LUCAS",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
14:32,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by JEFFERSON,MICHAEL",,,,,,,"REBOUND DEF by JEFFERSON,MICHAEL",1
14:23,"MISS 3PTR by LARIMORE,ZACH",,,,,,,"MISS 3PTR by LARIMORE,ZACH",1
--,,,,,"REBOUND DEF by WILSON,DREW",,,"REBOUND DEF by WILSON,DREW",1
14:08,"FOUL  by JEFFERSON,MICHAEL",,,,,,,"FOUL  by JEFFERSON,MICHAEL",1
14:08,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
14:08,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
14:08,"SUB OUT by SCHMITT,GABE",,,,,,,"SUB OUT by SCHMITT,GABE",1
14:08,"SUB IN by SIVILLS,WILL",,,,,,,"SUB IN by SIVILLS,WILL",1
13:56,,6,,8 (+2),"GOOD 3PTR by AYERS,PERRY",Centre 6-8 (+2),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
13:35,"GOOD JUMPER by GENTRY,LUCAS(in the paint)",8,,8,,Transy 8-8 (0),,"GOOD JUMPER by GENTRY,LUCAS(in the paint)",1
13:16,"FOUL  by LARIMORE,ZACH",,,,,,,"FOUL  by LARIMORE,ZACH",1
13:16,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:16,,,,,"MISS FT by AYERS,PERRY",,,"MISS FT by AYERS,PERRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:16,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
13:16,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
13:16,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
13:16,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
13:16,"SUB OUT by LARIMORE,ZACH",,,,,,,"SUB OUT by LARIMORE,ZACH",1
13:16,"SUB IN by SCHROEDER,LUKE",,,,,,,"SUB IN by SCHROEDER,LUKE",1
13:16,,8,,9 (+1),"GOOD FT by AYERS,PERRY",Centre 8-9 (+1),,"GOOD FT by AYERS,PERRY",1
13:16,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:16,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
12:54,"TURNOVER  by MCKINNEY,SPENCER",,,,,,,"TURNOVER  by MCKINNEY,SPENCER",1
12:54,,,,,"STEAL  by CRUMP,DAWSON",,,"STEAL  by CRUMP,DAWSON",1
12:37,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by GENTRY,LUCAS",,,,,,,"REBOUND DEF by GENTRY,LUCAS",1
12:28,"MISS 3PTR by GENTRY,LUCAS",,,,,,,"MISS 3PTR by GENTRY,LUCAS",1
--,"REBOUND OFF by MCKINNEY,SPENCER",,,,,,,"REBOUND OFF by MCKINNEY,SPENCER",1
12:12,"GOOD 3PTR by GENTRY,LUCAS",11 (+2),,9,,Transy 11-9 (-2),,"GOOD 3PTR by GENTRY,LUCAS",1
--,"ASSIST  by SCHROEDER,LUKE",,,,,,,"ASSIST  by SCHROEDER,LUKE",1
11:51,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,"REBOUND DEF by SIVILLS,WILL",,,,,,,"REBOUND DEF by SIVILLS,WILL",1
11:42,"MISS 3PTR by GENTRY,LUCAS",,,,,,,"MISS 3PTR by GENTRY,LUCAS",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
11:31,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:27,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
11:27,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
11:27,"SUB OUT by MCKINNEY,SPENCER",,,,,,,"SUB OUT by MCKINNEY,SPENCER",1
11:27,"SUB OUT by GENTRY,LUCAS",,,,,,,"SUB OUT by GENTRY,LUCAS",1
11:27,"SUB IN by CROMWELL,BRANDON",,,,,,,"SUB IN by CROMWELL,BRANDON",1
11:27,"SUB IN by HEMMERICH,SPENCER",,,,,,,"SUB IN by HEMMERICH,SPENCER",1
11:09,"MISS JUMPER by HEMMERICH,SPENCER",,,,,,,"MISS JUMPER by HEMMERICH,SPENCER",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
10:45,,11,,11,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",Centre 11-11 (0),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",1
10:28,"MISS JUMPER by SIVILLS,WILL",,,,,,,"MISS JUMPER by SIVILLS,WILL",1
--,,,,,"REBOUND DEF by SPITZER,JAKOB",,,"REBOUND DEF by SPITZER,JAKOB",1
10:12,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by JEFFERSON,MICHAEL",,,,,,,"REBOUND DEF by JEFFERSON,MICHAEL",1
10:02,"GOOD JUMPER by JEFFERSON,MICHAEL(in the paint)",13 (+2),,11,,Transy 13-11 (-2),,"GOOD JUMPER by JEFFERSON,MICHAEL(in the paint)",1
09:33,,,,,"TURNOVER  by SPITZER,JAKOB",,,"TURNOVER  by SPITZER,JAKOB",1
09:33,"STEAL  by JEFFERSON,MICHAEL",,,,,,,"STEAL  by JEFFERSON,MICHAEL",1
09:11,"FOUL  by SCHROEDER,LUKE",,,,,,,"FOUL  by SCHROEDER,LUKE",1
09:11,"TURNOVER  by SCHROEDER,LUKE",,,,,,,"TURNOVER  by SCHROEDER,LUKE",1
09:11,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
09:11,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
09:11,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
09:11,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
09:11,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
09:11,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
08:47,,13,,13,"GOOD JUMPER by BATES,JACOB(in the paint)",Centre 13-13 (0),,"GOOD JUMPER by BATES,JACOB(in the paint)",1
08:26,"MISS 3PTR by SIVILLS,WILL",,,,,,,"MISS 3PTR by SIVILLS,WILL",1
--,"REBOUND OFF by HEMMERICH,SPENCER",,,,,,,"REBOUND OFF by HEMMERICH,SPENCER",1
08:18,"GOOD LAYUP by HEMMERICH,SPENCER(in the paint)",15 (+2),,13,,Transy 15-13 (-2),,"GOOD LAYUP by HEMMERICH,SPENCER(in the paint)",1
07:59,,15,,15,"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 15-15 (0),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
07:36,"GOOD JUMPER by SCHROEDER,LUKE",17 (+2),,15,,Transy 17-15 (-2),,"GOOD JUMPER by SCHROEDER,LUKE",1
--,"ASSIST  by SIVILLS,WILL",,,,,,,"ASSIST  by SIVILLS,WILL",1
07:10,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
07:10,"STEAL  by CROMWELL,BRANDON",,,,,,,"STEAL  by CROMWELL,BRANDON",1
06:56,"GOOD 3PTR by CROMWELL,BRANDON",20 (+5),,15,,Transy 20-15 (-5),,"GOOD 3PTR by CROMWELL,BRANDON",1
--,"ASSIST  by JEFFERSON,MICHAEL",,,,,,,"ASSIST  by JEFFERSON,MICHAEL",1
06:31,"FOUL  by HEMMERICH,SPENCER",,,,,,,"FOUL  by HEMMERICH,SPENCER",1
06:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
06:31,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
06:31,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
06:31,"SUB OUT by CROMWELL,BRANDON",,,,,,,"SUB OUT by CROMWELL,BRANDON",1
06:31,"SUB OUT by SIVILLS,WILL",,,,,,,"SUB OUT by SIVILLS,WILL",1
06:31,"SUB OUT by HEMMERICH,SPENCER",,,,,,,"SUB OUT by HEMMERICH,SPENCER",1
06:31,"SUB OUT by SCHROEDER,LUKE",,,,,,,"SUB OUT by SCHROEDER,LUKE",1
06:31,"SUB IN by MCKINNEY,SPENCER",,,,,,,"SUB IN by MCKINNEY,SPENCER",1
06:31,"SUB IN by SCHMITT,GABE",,,,,,,"SUB IN by SCHMITT,GABE",1
06:31,"SUB IN by GENTRY,LUCAS",,,,,,,"SUB IN by GENTRY,LUCAS",1
06:31,"SUB IN by LARIMORE,ZACH",,,,,,,"SUB IN by LARIMORE,ZACH",1
06:31,,20 (+4),,16,"GOOD FT by BATES,JACOB",Centre 20-16 (-4),,"GOOD FT by BATES,JACOB",1
06:31,,20 (+3),,17,"GOOD FT by BATES,JACOB",Centre 20-17 (-3),,"GOOD FT by BATES,JACOB",1
06:19,"MISS 3PTR by SCHMITT,GABE",,,,,,,"MISS 3PTR by SCHMITT,GABE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:59,,20 (+1),,19,"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 20-19 (-1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
05:42,"MISS 3PTR by GENTRY,LUCAS",,,,,,,"MISS 3PTR by GENTRY,LUCAS",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
05:33,,20,,21 (+1),"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",Centre 20-21 (+1),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILSON,DREW",,,"ASSIST  by WILSON,DREW",1
05:11,"MISS 3PTR by MCKINNEY,SPENCER",,,,,,,"MISS 3PTR by MCKINNEY,SPENCER",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
04:55,,20,,23 (+3),"GOOD LAYUP by BATES,JACOB(in the paint)",Centre 20-23 (+3),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
04:30,"GOOD JUMPER by JEFFERSON,MICHAEL(in the paint)",22,,23 (+1),,Transy 22-23 (+1),,"GOOD JUMPER by JEFFERSON,MICHAEL(in the paint)",1
04:04,,,,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
03:59,,22,,26 (+4),"GOOD 3PTR by CRUMP,DAWSON",Centre 22-26 (+4),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
03:42,,,,,"FOUL  by WALKER,ART",,,"FOUL  by WALKER,ART",1
03:42,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:42,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
03:42,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
03:39,"MISS JUMPER by LARIMORE,ZACH(in the paint)",,,,,,,"MISS JUMPER by LARIMORE,ZACH(in the paint)",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
03:19,"FOUL  by SCHMITT,GABE",,,,,,,"FOUL  by SCHMITT,GABE",1
03:19,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:19,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
03:19,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
03:19,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",1
--,"REBOUND DEF by LARIMORE,ZACH",,,,,,,"REBOUND DEF by LARIMORE,ZACH",1
03:04,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
03:04,"GOOD FT by JEFFERSON,MICHAEL",23,,26 (+3),,Transy 23-26 (+3),,"GOOD FT by JEFFERSON,MICHAEL",1
03:04,"MISS FT by JEFFERSON,MICHAEL",,,,,,,"MISS FT by JEFFERSON,MICHAEL",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
02:37,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
02:37,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",1
02:37,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",1
02:21,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
02:14,,23,,29 (+6),"GOOD 3PTR by AYERS,PERRY(fastbreak)",Centre 23-29 (+6),,"GOOD 3PTR by AYERS,PERRY(fastbreak)",1
--,,,,,"ASSIST  by BAUGHMAN,CARTER",,,"ASSIST  by BAUGHMAN,CARTER",1
01:54,"GOOD LAYUP by GENTRY,LUCAS(in the paint)",25,,29 (+4),,Transy 25-29 (+4),,"GOOD LAYUP by GENTRY,LUCAS(in the paint)",1
--,"ASSIST  by MCKINNEY,SPENCER",,,,,,,"ASSIST  by MCKINNEY,SPENCER",1
01:33,,25,,32 (+7),"GOOD 3PTR by CRUMP,DAWSON",Centre 25-32 (+7),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
01:17,"GOOD 3PTR by JEFFERSON,MICHAEL",28,,32 (+4),,Transy 28-32 (+4),,"GOOD 3PTR by JEFFERSON,MICHAEL",1
01:00,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
01:00,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
00:48,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by GENTRY,LUCAS",,,,,,,"REBOUND DEF by GENTRY,LUCAS",1
00:40,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
00:40,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",1
00:40,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
00:40,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
00:40,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
00:40,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",1
00:40,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
00:27,"MISS JUMPER by SCHMITT,GABE(in the paint)",,,,,,,"MISS JUMPER by SCHMITT,GABE(in the paint)",1
00:27,,,,,"BLOCK  by PURVIS,KC",,,"BLOCK  by PURVIS,KC",1
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",1
00:03,,,,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",,,"MISS JUMPER by CRUMP,DAWSON(in the paint)",1
00:03,"BLOCK  by GENTRY,LUCAS",,,,,,,"BLOCK  by GENTRY,LUCAS",1
--,"REBOUND DEF by JEFFERSON,MICHAEL",,,,,,,"REBOUND DEF by JEFFERSON,MICHAEL",1
00:00,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
20:00,,,,,"SUB OUT by WILSON,DREW",,,"SUB OUT by WILSON,DREW",2
20:00,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
20:00,,,,,"SUB IN by BAUGHMAN,CARTER",,,"SUB IN by BAUGHMAN,CARTER",2
20:00,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
20:00,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
20:00,"SUB OUT by MCKINNEY,SPENCER",,,,,,,"SUB OUT by MCKINNEY,SPENCER",2
20:00,"SUB IN by SCHROEDER,LUKE",,,,,,,"SUB IN by SCHROEDER,LUKE",2
19:42,,28,,35 (+7),"GOOD 3PTR by WALKER,ART",Centre 28-35 (+7),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
19:30,"TURNOVER  by SCHMITT,GABE",,,,,,,"TURNOVER  by SCHMITT,GABE",2
19:30,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
19:09,,28,,38 (+10),"GOOD 3PTR by BATES,JACOB",Centre 28-38 (+10),,"GOOD 3PTR by BATES,JACOB",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
18:39,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",30,,38 (+8),,Transy 30-38 (+8),,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",2
--,"ASSIST  by SCHMITT,GABE",,,,,,,"ASSIST  by SCHMITT,GABE",2
18:19,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
18:19,"STEAL  by JEFFERSON,MICHAEL",,,,,,,"STEAL  by JEFFERSON,MICHAEL",2
18:13,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",,,,,,,"MISS JUMPER by JEFFERSON,MICHAEL(in the paint)",2
--,"REBOUND OFF by LARIMORE,ZACH",,,,,,,"REBOUND OFF by LARIMORE,ZACH",2
18:12,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
18:12,"GOOD FT by LARIMORE,ZACH(fastbreak)",31,,38 (+7),,Transy 31-38 (+7),,"GOOD FT by LARIMORE,ZACH(fastbreak)",2
18:12,"GOOD FT by LARIMORE,ZACH(fastbreak)",32,,38 (+6),,Transy 32-38 (+6),,"GOOD FT by LARIMORE,ZACH(fastbreak)",2
17:52,,32,,40 (+8),"GOOD JUMPER by RAKES,BAILEY",Centre 32-40 (+8),,"GOOD JUMPER by RAKES,BAILEY",2
17:34,"GOOD JUMPER by GENTRY,LUCAS",34,,40 (+6),,Transy 34-40 (+6),,"GOOD JUMPER by GENTRY,LUCAS",2
--,"ASSIST  by LARIMORE,ZACH",,,,,,,"ASSIST  by LARIMORE,ZACH",2
17:12,,34,,43 (+9),"GOOD 3PTR by WALKER,ART",Centre 34-43 (+9),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",2
16:50,"MISS JUMPER by GENTRY,LUCAS",,,,,,,"MISS JUMPER by GENTRY,LUCAS",2
--,"REBOUND OFF by GENTRY,LUCAS",,,,,,,"REBOUND OFF by GENTRY,LUCAS",2
16:44,"MISS LAYUP by GENTRY,LUCAS(in the paint)",,,,,,,"MISS LAYUP by GENTRY,LUCAS(in the paint)",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
16:44,,,,,"SUB OUT by BAUGHMAN,CARTER",,,"SUB OUT by BAUGHMAN,CARTER",2
16:44,,,,,"SUB IN by WILSON,DREW",,,"SUB IN by WILSON,DREW",2
16:44,"SUB OUT by GENTRY,LUCAS",,,,,,,"SUB OUT by GENTRY,LUCAS",2
16:44,"SUB IN by MCKINNEY,SPENCER",,,,,,,"SUB IN by MCKINNEY,SPENCER",2
16:17,,34,,45 (+11),"GOOD JUMPER by WALKER,ART(in the paint)",Centre 34-45 (+11),,"GOOD JUMPER by WALKER,ART(in the paint)",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
16:06,"GOOD JUMPER by SCHROEDER,LUKE(in the paint)",36,,45 (+9),,Transy 36-45 (+9),,"GOOD JUMPER by SCHROEDER,LUKE(in the paint)",2
--,"ASSIST  by JEFFERSON,MICHAEL",,,,,,,"ASSIST  by JEFFERSON,MICHAEL",2
15:46,"FOUL  by LARIMORE,ZACH",,,,,,,"FOUL  by LARIMORE,ZACH",2
15:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:46,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:46,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:46,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
15:46,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
